index,RACH_ID,PLU,DATA,IL,CSNJ_B,WART,time_rounded_DATA,hour,minute,time,date
129316,100000067970,101,2018-09-01 12:52:00,1.0,17.8,17.8,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129317,100000067971,304,2018-09-01 12:59:00,1.0,7.9,7.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129318,100000067971,305,2018-09-01 12:59:00,1.0,7.9,7.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129319,100000067972,6,2018-09-01 13:03:00,0.5,19.8,9.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129320,100000067972,5,2018-09-01 13:03:00,0.5,16.8,8.4,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129321,100000067973,101,2018-09-01 13:04:00,0.5,17.8,8.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129322,100000067973,4,2018-09-01 13:04:00,0.5,11.8,5.9,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129323,100000067960,4,2018-09-01 13:14:00,1.0,11.8,11.8,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129324,100000067960,803,2018-09-01 13:14:00,1.0,0.6,0.6,2018-09-01 13:00:00,13.0,0.0,13.0,2018-09-01
129325,100000067975,4,2018-09-01 13:16:00,1.0,11.8,11.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129326,100000067975,776,2018-09-01 13:16:00,1.0,7.8,7.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129327,100000067976,10,2018-09-01 13:17:00,0.5,16.5,8.25,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129328,100000067976,6,2018-09-01 13:17:00,0.5,19.8,9.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129329,100000067976,305,2018-09-01 13:18:00,1.0,7.9,7.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129330,100000067976,604,2018-09-01 13:18:00,1.0,4.9,4.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129331,100000067977,6,2018-09-01 13:20:00,1.0,19.8,19.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129332,100000067977,501,2018-09-01 13:21:00,1.0,3.8,3.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129333,100000067977,500,2018-09-01 13:21:00,1.0,3.8,3.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129334,100000067955,803,2018-09-01 13:22:00,1.0,0.6,0.6,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129335,100000067979,104,2018-09-01 13:23:00,1.0,18.8,18.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129336,100000067979,776,2018-09-01 13:23:00,1.0,7.8,7.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129337,100000067980,8,2018-09-01 13:24:00,1.0,18.9,18.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129338,100000067980,600,2018-09-01 13:24:00,1.0,4.9,4.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129339,100000067981,8,2018-09-01 13:25:00,1.0,18.9,18.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129340,100000067981,776,2018-09-01 13:25:00,1.0,7.8,7.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129341,100000067982,101,2018-09-01 13:26:00,1.0,17.8,17.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129342,100000067982,600,2018-09-01 13:26:00,1.0,4.9,4.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129343,100000067983,4,2018-09-01 13:26:00,1.0,11.8,11.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129344,100000067970,726,2018-09-01 13:27:00,1.0,8.0,8.0,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129345,100000067987,305,2018-09-01 13:38:00,1.0,7.9,7.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129346,100000067987,803,2018-09-01 13:38:00,1.0,0.6,0.6,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129347,100000067987,4,2018-09-01 13:39:00,1.0,11.8,11.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129348,100000067987,4,2018-09-01 13:39:00,1.0,11.8,11.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129349,100000067988,4,2018-09-01 13:42:00,1.0,11.8,11.8,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129350,100000067988,6,2018-09-01 13:42:00,0.5,19.8,9.9,2018-09-01 13:30:00,13.0,0.5,13.5,2018-09-01
129351,100000067989,305,2018-09-01 13:55:00,1.0,7.9,7.9,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129352,100000067989,9,2018-09-01 13:55:00,0.5,18.8,9.4,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129353,100000067990,4,2018-09-01 13:58:00,1.0,11.8,11.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129354,100000067990,776,2018-09-01 13:59:00,1.0,7.8,7.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129355,100000067992,4,2018-09-01 14:12:00,1.0,11.8,11.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129356,100000067993,4,2018-09-01 14:13:00,1.0,11.8,11.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129357,100000067993,1,2018-09-01 14:13:00,0.5,19.8,9.9,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129358,100000067994,305,2018-09-01 14:14:00,1.0,7.9,7.9,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129359,100000067994,776,2018-09-01 14:14:00,1.0,7.8,7.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129360,100000067994,726,2018-09-01 14:14:00,1.0,8.0,8.0,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129361,100000067994,726,2018-09-01 14:14:00,1.0,8.0,8.0,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129362,100000067994,603,2018-09-01 14:14:00,1.0,4.9,4.9,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129363,100000067994,4,2018-09-01 14:14:00,1.0,11.8,11.8,2018-09-01 14:00:00,14.0,0.0,14.0,2018-09-01
129364,100000067995,304,2018-09-01 14:18:00,1.0,7.9,7.9,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129365,100000067995,711,2018-09-01 14:18:00,1.0,5.0,5.0,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129366,100000067995,803,2018-09-01 14:18:00,1.0,0.6,0.6,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129367,100000067995,4,2018-09-01 14:21:00,1.0,11.8,11.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129368,100000067996,4,2018-09-01 14:23:00,1.0,11.8,11.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129369,100000067996,501,2018-09-01 14:23:00,1.0,3.8,3.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129370,100000067997,4,2018-09-01 14:32:00,1.0,11.8,11.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129371,100000067997,6,2018-09-01 14:32:00,1.0,19.8,19.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129372,100000067997,501,2018-09-01 14:32:00,1.0,3.8,3.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129373,100000067997,305,2018-09-01 14:32:00,1.0,7.9,7.9,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129374,100000067997,803,2018-09-01 14:32:00,1.0,0.6,0.6,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129375,100000067998,100,2018-09-01 14:35:00,1.0,18.8,18.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129376,100000067998,100,2018-09-01 14:35:00,1.0,18.8,18.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129377,100000067999,4,2018-09-01 14:37:00,0.5,11.8,5.9,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129378,100000067999,4,2018-09-01 14:38:00,1.0,11.8,11.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129379,100000067999,500,2018-09-01 14:38:00,1.0,3.8,3.8,2018-09-01 14:30:00,14.0,0.5,14.5,2018-09-01
129380,100000068000,4,2018-09-01 14:45:00,1.0,11.8,11.8,2018-09-01 15:00:00,15.0,0.0,15.0,2018-09-01
